type_index,type_name,rule_existence,rule_offset,rule_counts,rule_sign,N1_existence,N1_offset,N1_counts,N1_sign
43,R3,0.17195911431401467,0.8095238095238094,0.8145442443557931,0.2857142857142857,0.22357400877064187,0.8571428571428571,0.7994815103818458,0.2857142857142857
44,C2,0.36203919337005924,0.6956315289648622,0.8912048611096453,0.3333333333333333,0.37130188892478877,0.6244814314989753,1.2359569645999757,0.3333333333333333
45,L1,0.42409021394159024,0.9584415584415584,0.9552954027728467,0.5,0.43683830494622666,0.8655103668261563,1.4679424007470436,0.5
46,Am,0.5024378107097357,0.866984126984127,1.1228962431333254,0.5714285714285714,0.5350441649056633,0.9403174603174603,1.1017225634750565,0.5714285714285714
47,Mi1,0.8222941419492382,0.6883613367309019,0.7631960462405953,0.9782608695652174,0.7926696590367107,0.5149658915963264,1.1124508911294513,0.9782608695652174
48,R2,0.19675679720919104,0.9166666666666666,1.1475756015279188,0.375,0.24149870741302204,0.9375,1.145421650799563,0.375
49,Mi14,0.2042272897574174,0.4209183673469387,0.6619720019638244,0.5714285714285714,0.20819479394775162,0.25510204081632654,0.891472318934252,0.5714285714285714
50,R5,0.18092711398518158,0.9523809523809523,0.9247216649551266,0.2857142857142857,0.231140599956553,0.9047619047619048,0.8952685962884384,0.2857142857142857
51,L5,0.4864772063045536,0.6627131099353321,0.8855673563826645,1.0,0.4862465124544635,0.601954732510288,1.1022367061511464,1.0
52,Tm9,0.49617356915850286,0.6384800384800384,0.8188442401861076,1.0,0.4952312786871071,0.6308641975308643,1.0696294912731046,1.0
53,TmY10,0.32057652903889794,0.46071428571428574,0.8414340451795626,1.0,0.33299466293890545,0.4785714285714286,0.8579149009909058,1.0
54,R4,0.18092710938250764,0.9523809523809523,0.9442824780991621,0.2857142857142857,0.23114059995655298,1.0,0.9420725502875442,0.2857142857142857
55,TmY18,0.32075295811992366,0.2781045751633987,0.8166184064611662,1.0,0.3255503864741798,0.19733893557422966,0.9433405436898806,1.0
56,Tm5a,0.24514408500613977,0.5416666666666666,0.8860703051166501,1.0,0.2551876413670346,0.5416666666666666,0.8884080410612106,1.0
57,T2a,0.3773630623091297,0.20970238095238095,0.851275931746112,1.0,0.38674886564964706,0.2225,0.862982101113383,1.0
58,TmY13,0.27043669936364256,0.1579365079365079,1.089606914814576,1.0,0.2829958316642011,0.1857142857142857,1.1755661668869894,1.0
59,R7,0.2152543331152086,0.875,0.9164441846272039,0.0,0.2475890647465988,0.875,0.9088255988187943,0.0
60,R6,0.162327184294218,0.9444444444444443,1.0151118920796987,0.16666666666666666,0.21702495466616664,1.0,1.0090182462079145,0.16666666666666666
61,T5d,0.32144537832651554,0.25727513227513227,0.8314091382796925,1.0,0.32761965191298886,0.17722222222222223,0.8640621173580297,1.0
62,Mi11,0.13921485200259257,0.125,0.6248659182700419,1.0,0.15027719020626035,0.5,0.6269576735794544,1.0
63,Tm30,0.13126944742539345,0.14285714285714285,0.5565846559801385,1.0,0.15027719020626032,0.0,0.6931471805599453,1.0
64,L3,0.6146579395012503,0.7404597701149425,0.965387877521404,0.9655172413793104,0.6153768842419857,0.7797701149425287,0.9725388737829951,0.9655172413793104
