sd,present,degenerate,auc_N1,auc_rule,M_rule,lam_rule,auc_BF:1,M_BF:1,lam_BF:1,auc_BF:2,M_BF:2,lam_BF:2,auc_BF:3,M_BF:3,lam_BF:3,auc_BF:4,M_BF:4,lam_BF:4,auc_N1,M_N1,lam_N1
11,21,False,0.5957918050941307,0.5902547065337763,-0.0055370985603543366,100.0,0.5957918050941307,0.0,100.0,0.5957918050941307,0.0,100.0,0.5957918050941307,0.0,100.0,0.5957918050941307,0.0,100.0,0.5957918050941307,0.0,
12,28,False,0.4955357142857143,0.4851190476190476,-0.010416666666666685,100.0,0.4955357142857143,0.0,100.0,0.4955357142857143,0.0,100.0,0.4955357142857143,0.0,100.0,0.4955357142857143,0.0,100.0,0.4955357142857143,0.0,
13,22,False,0.4648268398268398,0.4642857142857143,-0.0005411255411255089,100.0,0.4648268398268398,0.0,100.0,0.4648268398268398,0.0,100.0,0.4648268398268398,0.0,100.0,0.4648268398268398,0.0,100.0,0.4648268398268398,0.0,
14,25,False,0.54,0.5533333333333333,0.013333333333333308,100.0,0.54,0.0,100.0,0.54,0.0,100.0,0.54,0.0,100.0,0.54,0.0,100.0,0.54,0.0,
15,26,False,0.4964574898785425,0.5,0.0035425101214575094,100.0,0.4964574898785425,0.0,100.0,0.4964574898785425,0.0,100.0,0.4964574898785425,0.0,100.0,0.4964574898785425,0.0,100.0,0.4964574898785425,0.0,
16,21,False,0.3698781838316722,0.3698781838316722,0.0,100.0,0.3698781838316722,0.0,100.0,0.3698781838316722,0.0,100.0,0.3698781838316722,0.0,100.0,0.3698781838316722,0.0,100.0,0.3698781838316722,0.0,
17,27,False,0.6161161161161162,0.6031031031031031,-0.013013013013013053,100.0,0.6161161161161162,0.0,100.0,0.6161161161161162,0.0,100.0,0.6161161161161162,0.0,100.0,0.6161161161161162,0.0,100.0,0.6161161161161162,0.0,
18,30,False,0.5681372549019608,0.5877450980392157,0.019607843137254943,100.0,0.5681372549019608,0.0,100.0,0.5681372549019608,0.0,100.0,0.5681372549019608,0.0,100.0,0.5333333333333333,-0.03480392156862744,3.0,0.5681372549019608,0.0,
19,25,False,0.4169230769230769,0.42102564102564105,0.004102564102564155,100.0,0.4169230769230769,0.0,100.0,0.4169230769230769,0.0,100.0,0.4169230769230769,0.0,100.0,0.4169230769230769,0.0,100.0,0.4169230769230769,0.0,
20,22,False,0.46645021645021645,0.4724025974025974,0.005952380952380931,100.0,0.46645021645021645,0.0,100.0,0.46645021645021645,0.0,100.0,0.46645021645021645,0.0,100.0,0.46645021645021645,0.0,100.0,0.46645021645021645,0.0,
21,27,False,0.5015015015015015,0.503003003003003,0.0015015015015015232,100.0,0.5015015015015015,0.0,100.0,0.5015015015015015,0.0,100.0,0.5015015015015015,0.0,100.0,0.5015015015015015,0.0,100.0,0.5015015015015015,0.0,
22,22,False,0.5487012987012987,0.5487012987012987,0.0,100.0,0.5487012987012987,0.0,100.0,0.5487012987012987,0.0,100.0,0.5487012987012987,0.0,100.0,0.5487012987012987,0.0,100.0,0.5487012987012987,0.0,
23,29,False,0.5600985221674877,0.5571428571428572,-0.002955665024630516,100.0,0.5600985221674877,0.0,100.0,0.5600985221674877,0.0,100.0,0.5600985221674877,0.0,100.0,0.5600985221674877,0.0,100.0,0.5600985221674877,0.0,
24,25,False,0.6071794871794872,0.5994871794871794,-0.007692307692307776,100.0,0.6071794871794872,0.0,100.0,0.6071794871794872,0.0,100.0,0.6071794871794872,0.0,100.0,0.6071794871794872,0.0,100.0,0.6071794871794872,0.0,
25,26,False,0.4731781376518219,0.4767206477732793,0.003542510121457454,100.0,0.4731781376518219,0.0,100.0,0.4731781376518219,0.0,100.0,0.4731781376518219,0.0,100.0,0.4731781376518219,0.0,100.0,0.4731781376518219,0.0,
26,23,False,0.503711558854719,0.47348886532343587,-0.030222693531283096,100.0,0.503711558854719,0.0,100.0,0.503711558854719,0.0,100.0,0.503711558854719,0.0,100.0,0.503711558854719,0.0,100.0,0.503711558854719,0.0,
27,27,False,0.45095095095095095,0.45845845845845845,0.007507507507507505,100.0,0.45095095095095095,0.0,100.0,0.45095095095095095,0.0,100.0,0.45095095095095095,0.0,100.0,0.45095095095095095,0.0,100.0,0.45095095095095095,0.0,
28,25,False,0.5102564102564102,0.5133333333333333,0.003076923076923088,100.0,0.5102564102564102,0.0,100.0,0.5102564102564102,0.0,100.0,0.5102564102564102,0.0,100.0,0.5102564102564102,0.0,100.0,0.5102564102564102,0.0,
29,24,False,0.48854166666666665,0.45625,-0.03229166666666666,100.0,0.48854166666666665,0.0,100.0,0.48854166666666665,0.0,100.0,0.48854166666666665,0.0,100.0,0.48854166666666665,0.0,100.0,0.48854166666666665,0.0,
30,30,False,0.4730392156862745,0.47941176470588237,0.006372549019607876,100.0,0.4730392156862745,0.0,100.0,0.4730392156862745,0.0,100.0,0.4730392156862745,0.0,100.0,0.4730392156862745,0.0,100.0,0.4730392156862745,0.0,
31,24,False,0.4432291666666667,0.49375,0.05052083333333335,100.0,0.4432291666666667,0.0,100.0,0.4432291666666667,0.0,100.0,0.4432291666666667,0.0,100.0,0.4432291666666667,0.0,100.0,0.4432291666666667,0.0,
32,28,False,0.4469246031746032,0.43700396825396826,-0.009920634920634941,100.0,0.4469246031746032,0.0,100.0,0.4469246031746032,0.0,100.0,0.4469246031746032,0.0,100.0,0.4469246031746032,0.0,100.0,0.4469246031746032,0.0,
33,28,False,0.4662698412698413,0.47867063492063494,0.012400793650793662,100.0,0.4662698412698413,0.0,100.0,0.4662698412698413,0.0,100.0,0.4662698412698413,0.0,100.0,0.4662698412698413,0.0,100.0,0.4662698412698413,0.0,
34,26,False,0.43370445344129555,0.42864372469635625,-0.005060728744939291,100.0,0.43370445344129555,0.0,100.0,0.43370445344129555,0.0,100.0,0.43370445344129555,0.0,100.0,0.43370445344129555,0.0,100.0,0.43370445344129555,0.0,
35,23,False,0.45121951219512196,0.4427359490986214,-0.008483563096500557,100.0,0.45121951219512196,0.0,100.0,0.45121951219512196,0.0,100.0,0.45121951219512196,0.0,100.0,0.45121951219512196,0.0,100.0,0.45121951219512196,0.0,
36,29,False,0.5679802955665024,0.5596059113300492,-0.008374384236453203,100.0,0.5679802955665024,0.0,100.0,0.5679802955665024,0.0,100.0,0.5679802955665024,0.0,100.0,0.5679802955665024,0.0,100.0,0.5679802955665024,0.0,
37,24,False,0.4635416666666667,0.496875,0.033333333333333326,100.0,0.4635416666666667,0.0,100.0,0.4635416666666667,0.0,100.0,0.4635416666666667,0.0,100.0,0.4635416666666667,0.0,100.0,0.4635416666666667,0.0,
38,24,False,0.48385416666666664,0.45989583333333334,-0.023958333333333304,100.0,0.48385416666666664,0.0,100.0,0.48385416666666664,0.0,100.0,0.48385416666666664,0.0,100.0,0.48385416666666664,0.0,100.0,0.48385416666666664,0.0,
