{'family': 'No', 'seed': 90122, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.505859375, 'auc_gpu': 0.505859375, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.250047206878662, 'secs_gpu': 1.5781927108764648, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90122, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4755859375, 'auc_gpu': 0.4755859375, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.0619330406188965, 'secs_gpu': 2.3493218421936035, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90122, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.46875, 'auc_gpu': 0.46875, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 5.279963970184326, 'secs_gpu': 2.2504968643188477, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90122, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4697265625, 'auc_gpu': 0.4697265625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 6.153028249740601, 'secs_gpu': 2.4020445346832275, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90123, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.4775390625, 'auc_gpu': 0.4775390625, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 2.431112766265869, 'secs_gpu': 1.7769219875335693, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90123, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.49609375, 'auc_gpu': 0.49609375, 'max_abs_p_diff': 2.220446049250313e-16, 'label_mismatches': 0, 'secs_cpu': 4.032962322235107, 'secs_gpu': 2.2477283477783203, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90123, 'r': 3, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4775390625, 'auc_gpu': 0.4775390625, 'max_abs_p_diff': 3.3306690738754696e-16, 'label_mismatches': 0, 'secs_cpu': 5.716121196746826, 'secs_gpu': 2.268723726272583, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90123, 'r': 4, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4716796875, 'auc_gpu': 0.4716796875, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 6.665164470672607, 'secs_gpu': 2.384902238845825, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90124, 'r': 1, 'lam_cpu': 1.0, 'lam_gpu': 1.0, 'lam_match': True, 'auc_cpu': 0.4873046875, 'auc_gpu': 0.4873046875, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 2.4278523921966553, 'secs_gpu': 2.149317979812622, 'auc_diff': 0.0}
{'family': 'No', 'seed': 90124, 'r': 2, 'lam_cpu': 3.0, 'lam_gpu': 3.0, 'lam_match': True, 'auc_cpu': 0.4794921875, 'auc_gpu': 0.4794921875, 'max_abs_p_diff': 1.1102230246251565e-16, 'label_mismatches': 0, 'secs_cpu': 5.3059070110321045, 'secs_gpu': 8.506288528442383, 'auc_diff': 0.0}
