t_rel,util,mem_mib
365.33,97,15581
365.85,98,15581
366.35,98,15581
366.86,98,15581
367.36,97,15585
367.88,97,15585
368.39,96,15585
368.90,99,15585
369.42,98,15585
369.92,98,15585
370.43,97,15585
370.93,96,15585
371.44,96,15585
371.94,96,15585
372.45,94,15585
372.95,95,15581
373.46,94,15595
373.97,97,15600
374.47,98,15600
374.99,99,15600
375.50,97,15590
376.00,97,15590
376.51,97,15590
377.03,97,15590
377.54,95,15590
378.05,97,15590
378.57,96,15594
379.07,98,15594
379.58,99,15601
380.09,97,15602
380.59,96,15602
381.10,96,15602
381.60,96,15594
382.11,97,15594
382.61,95,15590
383.12,97,15590
383.62,98,15590
384.13,98,15590
384.65,100,15581
385.16,98,15581
385.66,97,15581
386.18,97,15581
386.68,97,15581
387.19,98,15581
387.69,95,15581
388.20,96,15581
388.71,95,15581
389.22,99,15581
389.73,98,15581
390.24,97,15581
390.74,96,15581
391.24,97,15581
391.74,96,15581
392.26,96,15581
392.76,97,15581
393.27,97,15581
393.77,98,15581
394.29,99,15581
394.80,99,15581
395.31,98,15581
395.81,95,15581
396.32,97,15581
396.82,98,15581
397.33,96,15581
397.85,96,15581
398.35,97,15581
398.87,98,15581
399.38,99,15581
399.90,98,15581
400.41,97,15581
400.92,98,15581
401.43,98,15581
401.93,96,15581
402.45,97,15581
402.95,97,15581
403.46,97,15581
403.97,96,15581
404.48,99,15581
404.98,97,15581
405.49,96,15581
405.99,96,15581
406.50,96,15581
407.00,95,15581
407.51,97,15581
408.01,97,15581
408.52,96,15581
409.02,98,15581
409.53,99,15581
410.03,98,15581
410.54,98,15581
411.05,97,15581
411.56,97,15581
412.07,98,15581
412.58,95,15581
413.08,96,15581
413.59,97,15581
414.09,96,15581
414.60,98,15581
415.11,98,15581
415.62,97,15581
416.12,97,15581
416.63,97,15581
417.15,97,15581
417.66,97,15581
418.16,96,15581
418.67,97,15581
419.17,98,15581
419.68,98,15581
420.20,97,15581
420.71,96,15581
421.23,96,15581
421.74,97,15581
422.25,95,15581
422.75,98,15581
423.27,92,15581
423.78,95,15581
424.29,92,15581
424.81,92,15581
425.32,98,15581
425.83,97,15581
426.33,97,15581
426.85,96,15586
427.36,96,15586
427.87,75,15586
428.38,0,15586
428.89,98,15586
429.40,100,15586
429.91,99,15586
430.41,100,15586
430.93,100,15586
431.43,99,15585
431.94,98,15585
432.45,99,15581
432.96,99,15581
433.46,99,15581
433.97,99,15581
434.49,98,15581
435.00,99,15581
435.50,99,15581
436.01,98,15581
436.52,97,15581
437.03,97,15589
437.54,99,15589
438.05,98,15589
438.55,96,15589
439.06,98,15588
439.56,98,15596
440.08,100,15596
440.59,99,15598
441.10,99,15600
441.62,99,15596
442.13,100,15596
442.64,99,15583
443.15,99,15581
443.67,99,15581
444.18,99,15581
444.70,98,15581
445.21,99,15581
445.72,98,15581
446.24,99,15581
446.75,98,15581
447.26,98,15581
447.77,98,15581
448.29,99,15581
448.80,98,15581
449.30,98,15581
449.81,99,15581
450.31,99,15581
450.82,99,15581
451.33,100,15581
451.84,99,15581
452.34,99,15581
452.85,98,15581
453.36,99,15581
453.87,99,15581
454.39,99,15581
454.90,97,15581
455.40,99,15581
455.91,98,15581
456.41,98,15581
456.92,99,15581
457.42,99,15581
457.94,98,15581
458.45,99,15581
458.96,98,15581
459.46,99,15581
459.97,99,15581
460.48,97,15581
460.99,98,15581
461.49,99,15581
462.00,98,15581
462.50,100,15581
463.01,98,15581
463.52,100,15581
464.03,100,15581
464.55,99,15581
465.06,98,15581
