# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json
pair_birth_id,src,tar,du,dv,n_syn,n_syn_json,sign,provenance,json_index,json_offset_order
cb15116811d5,L4,L4,0,-1,3.0,3,1,in_json,90,1
cb15116811d5,L4,L4,-1,0,1.0,1,1,in_json,90,2
cb15116811d5,L4,L4,1,0,3.0,3,1,in_json,90,3
cb15116811d5,L4,L4,0,0,1.0,,1,hull_filled,90,
8ee85c6c9b6a,L4,L5,0,0,2.0,2,1,in_json,91,0
8ee85c6c9b6a,L4,L5,1,-1,3.0,3,1,in_json,91,1
8ee85c6c9b6a,L4,L5,0,-1,2.0,2,1,in_json,91,2
839d0f2e12ea,L4,Am,0,0,1.0,1,1,in_json,92,0
839d0f2e12ea,L4,Am,1,-1,1.0,1,1,in_json,92,1
839d0f2e12ea,L4,Am,0,-1,1.0,1,1,in_json,92,2
b74cd03dc368,L4,Mi9,0,-1,1.2222222089767456,1.2222222222222223,1,in_json,93,0
b74cd03dc368,L4,Mi9,1,-1,1.2000000476837158,1.2,1,in_json,93,1
071b9ba6a697,L4,T2,-1,0,1.8333333730697632,1.8333333333333333,1,in_json,94,0
071b9ba6a697,L4,T2,0,0,6.900000095367432,6.9,1,in_json,94,1
bc2c858f039f,L4,Tm2,0,-1,12.100000381469727,12.1,1,in_json,95,0
bc2c858f039f,L4,Tm2,1,-1,6.888888835906982,6.888888888888889,1,in_json,95,1
bc2c858f039f,L4,Tm2,0,0,5.800000190734863,5.8,1,in_json,95,2
2e09ee2fe424,L4,Tm4,-1,0,1.125,1.125,1,in_json,96,0
2e09ee2fe424,L4,Tm4,0,1,1.0,1,1,in_json,96,1
2e09ee2fe424,L4,Tm4,-1,1,2.3333332538604736,2.3333333333333335,1,in_json,96,2
2e09ee2fe424,L4,Tm4,1,0,1.6666666269302368,1.6666666666666667,1,in_json,96,3
2e09ee2fe424,L4,Tm4,1,-1,1.0,1,1,in_json,96,4
2e09ee2fe424,L4,Tm4,0,0,6.5,6.5,1,in_json,96,5
623d241c43bc,L4,Tm9,0,-1,1.3333333730697632,1.3333333333333333,1,in_json,97,0
594e3bf1d46c,L4,TmY3,-1,0,8.0,8,1,in_json,98,0
594e3bf1d46c,L4,TmY3,-1,1,1.5,1.5,1,in_json,98,1
594e3bf1d46c,L4,TmY3,1,0,1.6666666269302368,1.6666666666666667,1,in_json,98,2
594e3bf1d46c,L4,TmY3,0,-1,7.714285850524902,7.714285714285714,1,in_json,98,3
594e3bf1d46c,L4,TmY3,1,-2,6.25,6.25,1,in_json,98,4
594e3bf1d46c,L4,TmY3,1,-1,4.800000190734863,4.8,1,in_json,98,5
594e3bf1d46c,L4,TmY3,0,0,6.333333492279053,6.333333333333333,1,in_json,98,6
3e73c458bc09,L4,TmY13,0,-1,1.0,1,1,in_json,99,0
ed26c76556ef,L5,L1,0,0,22.384614944458008,22.384615384615383,1,in_json,100,0
652e71b9c29d,L5,L2,0,0,4.666666507720947,4.666666666666667,1,in_json,101,0
82aa933511b4,L5,L5,0,1,1.0,1,1,in_json,102,0
62038101dc0b,L5,C2,1,1,1.5,1.5,1,in_json,103,0
62038101dc0b,L5,C2,0,1,8.875,8.875,1,in_json,103,1
62038101dc0b,L5,C2,-1,1,2.875,2.875,1,in_json,103,2
62038101dc0b,L5,C2,-1,2,2.5,2.5,1,in_json,103,3
62038101dc0b,L5,C2,1,0,5.666666507720947,5.666666666666667,1,in_json,103,4
62038101dc0b,L5,C2,0,-1,1.899999976158142,1.9,1,in_json,103,5
62038101dc0b,L5,C2,1,-2,1.5,1.5,1,in_json,103,6
62038101dc0b,L5,C2,1,-1,3.8333332538604736,3.8333333333333335,1,in_json,103,7
62038101dc0b,L5,C2,0,0,8.272727012634277,8.272727272727273,1,in_json,103,8
942200a41c83,L5,C3,0,0,7.5,7.5,1,in_json,104,0
4705c57db1d7,L5,Mi1,-1,0,1.5,1.5,1,in_json,105,0
4705c57db1d7,L5,Mi1,-1,1,1.0,1,1,in_json,105,1
4705c57db1d7,L5,Mi1,0,0,28.076923370361328,28.076923076923077,1,in_json,105,2
b05e8c868ed7,L5,Mi2,0,0,1.6666666269302368,1.6666666666666667,1,in_json,106,0
6550d51e3977,L5,Mi4,-1,0,2.5714285373687744,2.5714285714285716,1,in_json,107,0
6550d51e3977,L5,Mi4,0,1,5.125,5.125,1,in_json,107,1
6550d51e3977,L5,Mi4,-1,1,3.4285714626312256,3.4285714285714284,1,in_json,107,2
6550d51e3977,L5,Mi4,0,-1,1.6363636255264282,1.6363636363636365,1,in_json,107,3
6550d51e3977,L5,Mi4,1,-1,1.25,1.25,1,in_json,107,4
6550d51e3977,L5,Mi4,0,0,14.333333015441895,14.333333333333334,1,in_json,107,5
9b1b571fec42,L5,Mi15,1,0,1.0,1,1,in_json,108,0
a22b2f124e84,L5,T1,0,0,1.0,1,1,in_json,109,0
4d0c9a594eba,L5,T2,0,1,11.88888931274414,11.88888888888889,1,in_json,110,0
4d0c9a594eba,L5,T2,-1,1,15.5,15.5,1,in_json,110,1
4d0c9a594eba,L5,T2,-1,2,2.5,2.5,1,in_json,110,2
4d0c9a594eba,L5,T2,0,0,8.833333015441895,8.833333333333334,1,in_json,110,3
60fdecfa1c51,L5,Tm3,-1,0,3.909090995788574,3.909090909090909,1,in_json,111,0
60fdecfa1c51,L5,Tm3,0,1,6.7272725105285645,6.7272727272727275,1,in_json,111,1
60fdecfa1c51,L5,Tm3,-1,1,10.300000190734863,10.3,1,in_json,111,2
60fdecfa1c51,L5,Tm3,-1,-1,1.25,1.25,1,in_json,111,3
60fdecfa1c51,L5,Tm3,-1,2,6.142857074737549,6.142857142857143,1,in_json,111,4
60fdecfa1c51,L5,Tm3,1,0,2.3636362552642822,2.3636363636363638,1,in_json,111,5
60fdecfa1c51,L5,Tm3,0,-1,2.0714285373687744,2.0714285714285716,1,in_json,111,6
