# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=eea3815e8b0b79290d77b22dc3a5085bd8f3ee8ed4299ea1d449bc02b475f4c6; see bank.meta.json; birth_id=sha256('cs-birth-v1|type|NAME' or 'cs-birth-v1|pair|SRC->TAR')[:12]; next_display_no=671; rule=REGISTRY.md
birth_id,display_no,kind,birth_key,generation_born,parent_ids,src_birth_id,tar_birth_id,expressed_in_compiled_bank,content_sha256
1bb2961ba407,106,pair,pair:C3>T4c,0,,6182a4f16e6d,3a2a1325fb93,True,64611a2f9e708e06b6024f18938fde5066572fc4a448c2d3997a0bb83835378f
bf624d8675d2,107,pair,pair:C3>T4d,0,,6182a4f16e6d,0645a54521a8,True,aa83fda76f4e96ec787581c9f01684d079eb3774c727ffa73b20c3418815b017
7ae6bb736742,108,pair,pair:C3>Tm1,0,,6182a4f16e6d,6b080cbcddcf,True,2d930f27c3248b1d5de1e25effdc4ff1ce58561cad57104dc36361a3b6df92a2
b3b0ae57e4d8,109,pair,pair:C3>Tm2,0,,6182a4f16e6d,1716679973ed,True,69f81b13fe5202c414ae73c71fedce0609dfcd164db0dfb0970cdd2d2758d6c3
e900c0f9f91a,110,pair,pair:C3>Tm20,0,,6182a4f16e6d,5202f2beeefe,True,7b3768cd3201a30df3ee43886f4c338a2473b751bb6d810949cfd90bf838f81b
d35f3c869f68,111,pair,pair:C3>Tm4,0,,6182a4f16e6d,8f9d79739978,True,56122e9681bb89d6afe566ad7d50fb1717c160764fb56a37895f9d27892cd8a4
8dc8e8da90c3,112,pair,pair:C3>Tm9,0,,6182a4f16e6d,d00cef6913df,True,50d30fe61279fd79ac009bb83e5f0f85b18ecd8c4c88b5aa916f8f3c93f624db
6a790b7f8515,113,pair,pair:CT1(Lo1)>T5a,0,,7c280b5b9f34,9fd1579bc37e,True,9246071f7a391f79f6b96924c26b8ff76ff7e2c5b4e14f912fbe9389eff90c83
1aaf0ec0bb8d,114,pair,pair:CT1(Lo1)>T5b,0,,7c280b5b9f34,3c304e466112,True,323ecbca236d83175ddba72e6f064219c61d25f0b4e3cdf5e5890534f961bfd6
498eaa1af5b6,115,pair,pair:CT1(Lo1)>T5c,0,,7c280b5b9f34,4236c6342cc5,True,b3f9a39f04130f16eabad4d0b2abc0864e91c0e4647ec00202aa9193d0399212
48e2d52caed7,116,pair,pair:CT1(Lo1)>T5d,0,,7c280b5b9f34,f0bbaae7f4af,True,dbcc7fe0d5d6d8d3ada623d1473861389fcbfa83665159d9231dd262e604bbca
423f46bc4280,117,pair,pair:CT1(Lo1)>Tm1,0,,7c280b5b9f34,6b080cbcddcf,True,4b68127d286d71a5dd64534e852d859e517fb0d95046473a07b19d3a10d50d35
b6a646d6a597,118,pair,pair:CT1(Lo1)>Tm9,0,,7c280b5b9f34,d00cef6913df,True,519a720cb6485128b230a25adc62896b703c6724119a182093d8eecc4038f851
9e68aa17edcb,119,pair,pair:CT1(M10)>C3,0,,63667a4a1a53,6182a4f16e6d,True,5399f12527f9536a2568174d67f6aecad2f2589525fc86d422fe1a395350f84b
e9127be1bfb4,120,pair,pair:CT1(M10)>Mi1,0,,63667a4a1a53,af1ee12c7a13,True,8cba4b913d322c2132f22f218f3be42de9e767676c3188527a76e1cfb4eccba8
1da8fd4c5435,121,pair,pair:CT1(M10)>T4a,0,,63667a4a1a53,a722a78be07c,True,83ae67b1341ff302386571575883763053b912deda25072d366b2aeb3289d172
f1f362187f46,122,pair,pair:CT1(M10)>T4b,0,,63667a4a1a53,8dac2399d9d3,True,f81a42692bd225bf88c4022112cf9f9df8825c927bfe97d8e8672d2f4df97959
271873adb666,123,pair,pair:CT1(M10)>T4c,0,,63667a4a1a53,3a2a1325fb93,True,d121bae172d52af4e3fa4c363fa0f122852e765add61be99f3817d0d6f1f9e47
e27a08951308,124,pair,pair:CT1(M10)>T4d,0,,63667a4a1a53,0645a54521a8,True,937165ba4ad77a305049a29ead708005c6ad7500595c45ee8940051b418a46b4
9542b3744362,125,pair,pair:L1>C2,0,,ad5110ebac00,ac7377b4f393,True,9ee169429950fd37efafd4a785bfd64600bca59d2b1203a466ca0cf39fb5e886
cd084e808448,126,pair,pair:L1>C3,0,,ad5110ebac00,6182a4f16e6d,True,2580979cded923c3e58c600b9b1a4bc25b28b6cc482642ab6f3eecc0bc0b7dbc
6aff5c889774,127,pair,pair:L1>L5,0,,ad5110ebac00,cc98a8db805e,True,76a1a8989a5e559792c280501acd7f7f8256c7764ee0e5232a34fbb6cba041b3
e85b577b0950,128,pair,pair:L1>Lawf2,0,,ad5110ebac00,3a1e8d7d01c3,True,3f0e132bb8174c4223bd427dd2ea4af6c6a2751278f2a61657de666e5a2345e0
ea91821cd572,129,pair,pair:L1>Mi1,0,,ad5110ebac00,af1ee12c7a13,True,91ebfd46463b12150674517b63bbf4af2b7b864b019551e41ee902f210a2a6b1
2fdbc141abac,130,pair,pair:L1>Tm3,0,,ad5110ebac00,1d04dc9e4e44,True,562ddc6907ce1bca65e16c6d785097339dba901375d44994a467879aa1dac79a
651d6a0459a3,131,pair,pair:L2>C3,0,,36f25ce16c8f,6182a4f16e6d,True,580ebe626ecfa23c2d196e1698d4242ea21d91fcd80516d6407d2ddcb14074e9
3d0f94634994,132,pair,pair:L2>L1,0,,36f25ce16c8f,ad5110ebac00,True,830ff09cc7dd0ed3ae0c6743a44c3fc0e0a76d98114cf0219d29dc1c31c57e7e
