# source=flyvis 1.2.0 : connectome/fib25-fib19_v2.2.json; json_sha256=bfbb0766251ff09e22723d0ebbf7b14793e70b3ae8ad0eea64eac9d28223351a; compiled=FLYVIS_ROOT_DIR/connectome/ConnectomeFromAvgFilters_0000 (extent 15, n_syn_fill 1); script=results/genome/bank/extract_bank.py sha256=fb2303d241ed0966033b63a3d9f9b64ec1e47cea5376932360b8cfb96ae93943; see bank.meta.json
json_index,birth_id,src,tar,alpha,alpha_fixed,alpha_references,lambda_mult,edge_type,n_offsets_json,n_synapses_json_total,instantiated,n_offsets_compiled,n_offsets_hull_filled,n_offsets_dropped,n_synapses_compiled_total,note
137,82,C2,L5,-1,True,ReiserPC2017;NernPC2018,3.566893728614986,chem,1,19.454545454545453,True,1,0,0,19.454545974731445,
138,83,C2,Lawf2,-1,True,ReiserPC2017;NernPC2018,5.859477042231124,chem,19,95.0,True,19,0,0,95.0,
139,77,C2,Am,-1,True,ReiserPC2017;NernPC2018,5.859477042231124,chem,1,8.0,True,1,0,0,8.0,
140,84,C2,Mi1,-1,True,ReiserPC2017;NernPC2018,4.591264857313144,chem,1,10.727272727272727,True,1,0,0,10.727272987365723,
141,85,C2,T1,-1,True,ReiserPC2017;NernPC2018,17.30219216338024,chem,1,3.4545454545454546,True,1,0,0,3.454545497894287,
142,86,C2,T2,-1,True,ReiserPC2017;NernPC2018,6.249190817904653,chem,1,1.6666666666666667,True,1,0,0,1.6666666269302368,
143,87,C2,T4a,-1,True,ReiserPC2017;NernPC2018,5.97394572255949,chem,1,1.2,True,1,0,0,1.2000000476837158,
144,88,C2,Tm1,-1,True,ReiserPC2017;NernPC2018,54.66903606286769,chem,1,5.4,True,1,0,0,5.400000095367432,
145,89,C2,Tm9,-1,True,ReiserPC2017;NernPC2018,45.382534835386906,chem,1,3.3333333333333335,True,1,0,0,3.3333332538604736,
146,90,C2,TmY14,-1,True,ReiserPC2017;NernPC2018,8.908579909083203,chem,1,1.5,True,1,0,0,1.5,
147,101,C3,R3,-1,True,ReiserPC2017;NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
148,93,C3,L1,1,True,NernPC2018,5.859477042231124,chem,1,6.0,True,1,0,0,6.0,
149,94,C3,L2,1,True,NernPC2018,5.668867520509744,chem,1,56.125,True,1,0,0,56.125,
150,95,C3,L3,-1,False,NernPC2018,5.859477042231124,chem,1,1.0,True,1,0,0,1.0,
151,96,C3,L5,-1,True,ReiserPC2017;NernPC2018,6.821723289107959,chem,1,9.333333333333334,True,1,0,0,9.333333015441895,
152,97,C3,Lawf2,-1,True,ReiserPC2017;NernPC2018,5.859477042231124,chem,19,95.0,True,19,0,0,95.0,
153,91,C3,Am,-1,True,ReiserPC2017;NernPC2018,5.859477042231124,chem,1,22.0,True,1,0,0,22.0,
154,92,C3,CT1(M10),-1,True,ReiserPC2017;NernPC2018,4.707146382117212,chem,1,1.1304347826086956,True,1,0,0,1.1304347515106201,
155,98,C3,Mi1,-1,True,ReiserPC2017;NernPC2018,5.710615328637275,chem,1,3.92,True,1,0,0,3.9200000762939453,
156,99,C3,Mi4,-1,True,ReiserPC2017;NernPC2018,12.57414719845734,chem,1,2.12,True,1,0,0,2.119999885559082,
157,100,C3,Mi9,-1,True,ReiserPC2017;NernPC2018,7.047280415364949,chem,1,11.727272727272727,True,1,0,0,11.727272987365723,
158,102,C3,T1,-1,True,ReiserPC2017;NernPC2018,6.094956758181113,chem,1,128.6,True,1,0,0,128.60000610351562,
159,103,C3,T2,-1,True,ReiserPC2017;NernPC2018,4.026251062657067,chem,4,13.78888888888889,True,4,0,0,13.788888931274414,
160,104,C3,T4a,-1,True,ReiserPC2017;NernPC2018,3.150719416901397,chem,2,9.704347826086957,True,2,0,0,9.704347848892212,
161,105,C3,T4b,-1,True,ReiserPC2017;NernPC2018,3.173871392468815,chem,2,5.220000000000001,True,2,0,0,5.2200000286102295,
162,106,C3,T4c,-1,True,ReiserPC2017;NernPC2018,2.75310380452943,chem,2,4.206349206349206,True,2,0,0,4.20634925365448,
163,107,C3,T4d,-1,True,ReiserPC2017;NernPC2018,3.990923183688748,chem,3,6.5,True,4,1,0,7.5,
164,108,C3,Tm1,-1,True,ReiserPC2017;NernPC2018,4.550502440885141,chem,1,16.09090909090909,True,1,0,0,16.090909957885742,
165,109,C3,Tm2,-1,True,ReiserPC2017;NernPC2018,3.9507954550892435,chem,1,1.52,True,1,0,0,1.5199999809265137,
166,111,C3,Tm4,-1,True,ReiserPC2017;NernPC2018,2.6739746994945883,chem,6,23.476190476190474,True,6,0,0,23.476190447807312,
167,112,C3,Tm9,-1,True,ReiserPC2017;NernPC2018,89.52701569058104,chem,1,2.4444444444444446,True,1,0,0,2.444444417953491,
168,110,C3,Tm20,-1,True,ReiserPC2017;NernPC2018,22.510880169984404,chem,1,6.8,True,1,0,0,6.800000190734863,
169,113,CT1(Lo1),T5a,-1,True,NernPC2018,1.1672203204835898,chem,8,35.0,True,13,5,0,40.00000071525574,
170,114,CT1(Lo1),T5b,-1,True,NernPC2018,1.7068812261826862,chem,6,31.000000000000007,True,9,3,0,34.00000023841858,
171,115,CT1(Lo1),T5c,-1,True,NernPC2018,1.1748498654318085,chem,3,39.0,True,4,1,0,40.000000953674316,
172,116,CT1(Lo1),T5d,-1,True,NernPC2018,1.3471715203343166,chem,4,40.0,True,4,0,0,40.00000047683716,
173,117,CT1(Lo1),Tm1,-1,True,NernPC2018,4.814084013302218,chem,1,2.8,True,1,0,0,2.799999952316284,
174,118,CT1(Lo1),Tm9,-1,True,NernPC2018,4.070005262296925,chem,1,19.68,True,1,0,0,19.68000030517578,
175,119,CT1(M10),C3,-1,True,NernPC2018,5.9237413541520025,chem,1,1.173913043478261,True,1,0,0,1.1739130020141602,
176,120,CT1(M10),Mi1,-1,True,NernPC2018,10.61354582101681,chem,1,7.0638297872340425,True,1,0,0,7.0638298988342285,
177,121,CT1(M10),T4a,-1,True,NernPC2018,2.763976320359315,chem,6,17.971751412429384,True,6,0,0,17.97175121307373,
178,122,CT1(M10),T4b,-1,True,NernPC2018,1.484144522632172,chem,4,12.125396825396827,True,4,0,0,12.125396490097046,
179,123,CT1(M10),T4c,-1,True,NernPC2018,1.5467121606558911,chem,6,14.519480519480519,True,6,0,0,14.519480586051941,
