bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
shuffle78,78,shuffle,0.3643449603567591,0.4059394374683182,1.0465108560277252,0.5454371553804347,0.35530727286172503,0.3565707724588424,0.3593929267599749,0.3683000595858649,0.331211364344637,0.3512388300113375,0.34361390602256175,0.41711063595731074,0.3714175492517829,0.38928628631355455
shuffle79,79,shuffle,0.3600134719993844,0.4006869588061437,1.0389364066048694,0.5761317786693871,0.3577529637073685,0.3862242136343346,0.3683485489835135,0.3190085013959023,0.3543712399043845,0.37240624996615435,0.39245765853168313,0.33109117397636234,0.3722991605152213,0.3461750093789194
shuffle80,80,shuffle,0.3639810088357866,0.4011678042917777,1.0384404089314743,0.5998294109936269,0.3975830427238388,0.3577937499645883,0.36934944204450715,0.3444289234134252,0.38615854099510544,0.33591405571367644,0.33788828370442286,0.42048728144943753,0.3394564778415566,0.35075029050730705
shuffle81,81,shuffle,0.36052452251436257,0.3903033419338705,1.0483058055826198,0.5878880593328,0.31715796568586674,0.39166498909735287,0.3676929805866587,0.37420595092076053,0.3868207263305657,0.3706174705643533,0.3613106660256069,0.3404078862030718,0.34051483397356597,0.35485175575582334
shuffle82,82,shuffle,0.3611692565423814,0.4173993087406981,1.0359165823514176,0.5504101459235454,0.3750007296000944,0.32530311916295995,0.3574030698726843,0.352353085410231,0.36850463839271036,0.3677499663023145,0.37153264498136646,0.3479962511191646,0.35394137437740575,0.39190768620488226
shuffle83,83,shuffle,0.36207855072722894,0.4175354285218032,1.0153426595167911,0.5490293991709867,0.37808839213318807,0.4148721408527996,0.3485872807369817,0.38791778044547587,0.3378778669130836,0.3170943527326169,0.3807279738218145,0.33365242129509537,0.34651085051622815,0.3754564478250061
shuffle84,84,shuffle,0.3631630095602579,0.4022616858783986,1.0344218403081673,0.5430060832609762,0.3698166205840934,0.3454622859452613,0.4270313289372222,0.34658892532174335,0.37960733409947517,0.3438121617795289,0.33879388040696173,0.36383044988253294,0.3391930133229727,0.3774940953227863
shuffle85,85,shuffle,0.36367276527381376,0.41472845963698396,1.0384030386642271,0.5943685981864704,0.34866105598559255,0.34334779109151836,0.3168512221244233,0.41801774586682505,0.35405692621597623,0.31502141466864064,0.4012058388683036,0.3743113765047009,0.34341451264893585,0.4218397687632213
shuffle86,86,shuffle,0.3610732634648016,0.4183267820564464,1.0275836800258218,0.5544485670602819,0.3811174549595942,0.3687886341230429,0.364300606258906,0.42016904093551055,0.3486882224064695,0.313823311225783,0.32678821009810566,0.3548782995717432,0.4002000370410577,0.33197881802780327
shuffle87,87,shuffle,0.3627618052007948,0.41813297466117155,1.0222841313389364,0.5370875187838688,0.34802591137084626,0.3740543028946847,0.3279887448200884,0.4071062477294865,0.3509038653501654,0.34712677938245645,0.34307846874720377,0.33944253148417836,0.395997993611859,0.39389320661697946
shuffle88,88,shuffle,0.36344617045141,0.3856026276842801,1.037658930205589,0.579534371602405,0.35945789015124036,0.3955904088198195,0.3563780855242853,0.343409206004567,0.3813413294903409,0.3664621613714511,0.3608654907329865,0.3313403679875209,0.37238912466331797,0.3672276397685705
shuffle89,89,shuffle,0.36318935241713113,0.40171877921533294,1.0318937727429793,0.6009710857327826,0.3798803421778373,0.39007419244073843,0.36630635688136204,0.3743525051392149,0.3576725451820439,0.3723599416435119,0.35426733272029753,0.32146314285855176,0.35405717929366093,0.3614599858340923
shuffle90,90,shuffle,0.3643061431663267,0.4019461417863706,1.035744901491769,0.562461270164223,0.3238906465075519,0.36125225588818305,0.3892316824027898,0.34132340943303746,0.36760864662092496,0.3587620869721701,0.3381611935476963,0.4113879627412476,0.3756796779394821,0.37576386961018376
shuffle91,91,shuffle,0.3614248742024964,0.4066335185555655,1.027647601782281,0.5785820482412507,0.3103268231977958,0.36522940180453944,0.37577062856508225,0.32923970377059186,0.35760581066783764,0.35206549691064565,0.3449319822146125,0.3767431545070986,0.39610276133903677,0.4062329790477233
shuffle92,92,shuffle,0.35937626202556416,0.4014378474614828,1.04911137943255,0.5552082679153516,0.38855016312017004,0.33221035089200357,0.3563486734704972,0.34030473777604314,0.36872464958771206,0.379752563683489,0.3331294034021375,0.38788423566520136,0.31970225215173853,0.3871555905066494
shuffle93,93,shuffle,0.3621419635771503,0.40310171507152404,1.0296415703881103,0.5707143334555401,0.3723440043816266,0.36553016319432674,0.35679673326160166,0.36603033618746417,0.36901906666662987,0.36598527334688263,0.31690977492531447,0.3536721615197555,0.3909380763043497,0.36419404598355154
shuffle94,94,shuffle,0.36272073220143586,0.4165574586524364,1.0381735082185064,0.5821078416685427,0.34119874040472786,0.37463440272061804,0.3187982589925477,0.3757056180064817,0.3251516862865767,0.38459366100693726,0.3150271401468633,0.36665841117436115,0.39259230251813426,0.4328471007571102
shuffle95,95,shuffle,0.36274754620513444,0.3947457885042372,1.037613212745868,0.5843424758590149,0.35655632042598256,0.3440048529486639,0.40251833423647965,0.40686691009324183,0.316106640788328,0.34149831088182653,0.3087268208726673,0.4311393791079048,0.31707091771110574,0.40298697498514424
shuffle96,96,shuffle,0.3607912178750635,0.4146038529099525,1.0355493019673758,0.5576711375304293,0.36885912850100483,0.36932245594065216,0.37004022143564047,0.35945448816776726,0.3663109678389528,0.30939497255305093,0.32861397946800536,0.3482974896818675,0.36388109333550833,0.4237373818281857
