bank,seed,kind,existence,offset,counts,sign,existence_fold0,existence_fold1,existence_fold2,existence_fold3,existence_fold4,existence_fold5,existence_fold6,existence_fold7,existence_fold8,existence_fold9
shuffle77,77,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle78,78,shuffle,-0.0012625781859576745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012625781859576746,0.0,0.0,0.0,0.0,0.0
shuffle79,79,shuffle,-0.0005136507498976428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005136507498976428,0.0
shuffle80,80,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle81,81,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle82,82,shuffle,-0.0007589852693241806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007589852693241805
shuffle83,83,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle84,84,shuffle,-0.0007335637859436972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007335637859436972,0.0,0.0,0.0,0.0
shuffle85,85,shuffle,-0.0010003123423678428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029313845204644307,0.0,-0.007071738903213998,0.0,0.0,0.0
shuffle86,86,shuffle,-0.0019699188045531335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019699188045531335,0.0,0.0,0.0
shuffle87,87,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle88,88,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle89,89,shuffle,-0.0006096843512109429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006096843512109429,0.0,0.0,0.0
shuffle90,90,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle91,91,shuffle,-0.00027656640385998463,0.0,0.0,0.0,-0.0020877891798572468,0.0,-0.0006778748587425998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle92,92,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle93,93,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle94,94,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle95,95,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle96,96,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shuffle97,97,shuffle,-0.0007248103589911458,0.0,0.0,0.0,0.0,0.0,-0.005379481045304779,-0.0018686225446066795,0.0,0.0,0.0,0.0,0.0,0.0
shuffle98,98,shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
