path,run_a,run_b,variant,alpha,aggregate_hook,aggregate_per_item_mean,hook_minus_per_item_mean,bn_batches,wall_s,item_sequence_02_ambush_2_split_00,item_sequence_02_ambush_2_split_01,item_sequence_02_ambush_2_split_02,item_sequence_07_bamboo_1_split_00,item_sequence_07_bamboo_1_split_01,item_sequence_07_bamboo_1_split_02,item_sequence_09_bandage_1_split_00,item_sequence_09_bandage_1_split_01,item_sequence_09_bandage_1_split_02,item_sequence_12_cave_4_split_00,item_sequence_13_market_2_split_00,item_sequence_13_market_2_split_01,item_sequence_13_market_2_split_02,item_sequence_16_mountain_1_split_00,item_sequence_16_mountain_1_split_01,item_sequence_16_mountain_1_split_02
extra_0prime_to_1,900,001,1,0.15,1208.7772636413574,1208.7772636413574,0.0,,0.409,4183.32763671875,4489.19580078125,4895.490234375,100.21031951904297,93.45954132080078,127.34939575195312,776.2354736328125,791.795166015625,641.8926391601562,1204.60888671875,760.3456420898438,491.1453857421875,230.0312042236328,183.0447998046875,128.5993194580078,243.70477294921875
extra_0prime_to_1,900,001,1,0.2,1209.6297464370728,1209.62974691391,-4.76837158203125e-07,,0.404,4189.00146484375,4494.07080078125,4899.95166015625,105.06510925292969,99.43702697753906,132.99949645996094,771.3680419921875,785.9024047851562,637.5077514648438,1204.551025390625,763.697265625,493.331298828125,231.71229553222656,184.26661682128906,123.94561004638672,237.26808166503906
extra_0prime_to_1,900,001,1,0.25,1210.7100110054016,1210.7100086212158,2.384185791015625e-06,,0.406,4193.18701171875,4497.77197265625,4903.3349609375,110.19744110107422,105.54505157470703,138.72972106933594,766.9036865234375,780.6201782226562,633.1369018554688,1204.4901123046875,766.960693359375,495.4616394042969,233.54806518554688,187.5540313720703,122.02000427246094,231.89866638183594
extra_0prime_to_1,900,001,1,0.3,1211.9453086853027,1211.945309638977,-9.5367431640625e-07,,0.419,4197.0185546875,4501.142578125,4906.0615234375,115.26725006103516,111.2926254272461,144.10647583007812,762.9915771484375,776.0687255859375,629.2076416015625,1204.14990234375,770.0177612304688,497.4956359863281,235.39443969726562,191.37283325195312,121.92994689941406,227.60748291015625
extra_0prime_to_1,900,001,1,0.35,1213.1442499160767,1213.1442503929138,-4.76837158203125e-07,,0.41,4200.54150390625,4504.3779296875,4908.138671875,119.48193359375,115.35324096679688,147.8522186279297,760.1608276367188,772.6111450195312,626.1355590820312,1203.033203125,772.6837158203125,499.3009948730469,236.78517150878906,195.63644409179688,123.58661651611328,224.6288299560547
extra_0prime_to_1,900,001,1,0.4,1214.017638683319,1214.017638206482,4.76837158203125e-07,,0.411,4203.19189453125,4507.1484375,4910.068359375,121.72909545898438,116.52400207519531,148.8112030029297,758.4425659179688,770.211181640625,623.9219970703125,1200.7945556640625,774.7327880859375,500.7723693847656,237.26242065429688,200.47557067871094,126.96835327148438,223.2274169921875
extra_0prime_to_1,900,001,1,0.45,1214.6810007095337,1214.6810007095337,0.0,,0.408,4205.4580078125,4509.79931640625,4912.29541015625,122.5190200805664,115.80175018310547,147.70684814453125,757.45947265625,768.18603515625,622.1460571289062,1198.182373046875,776.1646118164062,501.6668395996094,236.9005584716797,205.75001525878906,131.77110290527344,223.08859252929688
extra_0prime_to_1,900,001,1,0.475,1214.851894378662,1214.8518948554993,-4.76837158203125e-07,,0.366,4206.42529296875,4511.23486328125,4913.56494140625,122.74940490722656,115.2576675415039,146.96475219726562,757.0003051757812,767.228759765625,621.3590698242188,1197.2061767578125,776.6539306640625,501.7784118652344,236.5068817138672,207.61512756347656,133.1689453125,222.91578674316406
extra_0prime_to_1,900,001,1,0.5,1214.90101146698,1214.9010105133057,9.5367431640625e-07,,0.416,4207.400390625,4512.62939453125,4914.7734375,123.08295440673828,114.87810516357422,146.3756866455078,756.3907470703125,766.3632202148438,620.6503295898438,1196.546875,776.8538818359375,501.6492919921875,236.14076232910156,208.5732421875,133.49795532226562,222.60989379882812
extra_0prime_to_1,900,001,1,0.525,1214.638732433319,1214.6387028694153,2.956390380859375e-05,,0.358,4208.19921875,4513.42822265625,4915.7734375,123.52364349365234,114.60972595214844,145.87477111816406,755.5297241210938,765.4326171875,620.0247192382812,1196.2672119140625,776.7921142578125,501.2785949707031,235.71408081054688,208.36354064941406,131.6958770751953,221.7117462158203
extra_0prime_to_1,900,001,1,0.55,1214.1353316307068,1214.1353268623352,4.76837158203125e-06,,0.408,4208.52685546875,4513.69873046875,4916.37646484375,124.0361557006836,114.51995849609375,145.5069122314453,754.2692260742188,764.2508544921875,619.329833984375,1196.331787109375,776.5783081054688,500.6549987792969,235.4027557373047,207.42897033691406,129.00497436523438,220.24844360351562
extra_0prime_to_1,900,001,1,0.6,1213.1427516937256,1213.1427488327026,2.86102294921875e-06,,0.405,4209.1953125,4514.626953125,4917.1640625,125.55258178710938,115.18672180175781,145.3602294921875,750.7057495117188,760.6658935546875,616.5925903320312,1196.566650390625,776.1304931640625,499.9930725097656,235.5803985595703,206.40560913085938,124.74853515625,215.8091278076172
extra_0prime_to_1,900,001,1,0.65,1212.4285368919373,1212.4285373687744,-4.76837158203125e-07,,0.428,4209.12548828125,4515.38916015625,4917.6884765625,126.67465209960938,116.6029281616211,145.9637908935547,747.8768920898438,757.2764892578125,613.6038818359375,1196.3314208984375,775.6046142578125,499.86663818359375,236.3240966796875,206.4519500732422,122.14270782470703,211.93341064453125
